,BALANCE,PURCHASES,CASH_ADVANCE,CREDIT_LIMIT,PAYMENTS
0,40.900749,95.4,0.0,1000.0,201.802084
1,3202.467416,0.0,6442.9454829999995,7000.0,4103.032596999999
2,2495.148862,773.17,0.0,7500.0,622.066742
4,817.714335,16.0,0.0,1200.0,678.334763
5,1809.8287510000002,1333.28,0.0,1800.0,1400.05777
6,627.260806,7091.01,0.0,13500.0,6354.314328
7,1823.6527429999999,436.2,0.0,2300.0,679.0650820000001
8,1014.9264730000001,861.49,0.0,7000.0,688.278568
9,152.225975,1281.6,0.0,11000.0,1164.770591
10,1293.124939,920.12,0.0,1200.0,1083.301007
11,630.794744,1492.18,0.0,2000.0,705.618627
12,1516.92862,3217.99,0.0,3000.0,608.263689
13,921.693369,2137.93,0.0,7500.0,1655.891435
14,2772.772734,0.0,346.81139,3000.0,805.647974
15,6886.213231000001,1611.7,2301.4912670000003,8000.0,1993.439277
16,2072.074354,0.0,2784.274703,3000.0,391.974562
17,41.089489,519.0,0.0,2500.0,254.590662
18,1989.0722280000002,504.35,0.0,13000.0,1720.837373
19,3577.9709329999996,398.64,0.0,4000.0,1053.980464
20,2016.6846859999998,176.68,0.0,2000.0,223.0686
21,6369.531318,6359.95,229.02824500000003,11250.0,2077.9590510000003
22,132.34224,815.9,0.0,1800.0,2359.629958
23,3800.151377,4248.35,7974.415626000001,9000.0,9479.043842000001
24,5368.5712189999995,0.0,798.9498629999999,6000.0,1422.726707
25,169.781679,399.6,0.0,3000.0,215.306142
26,1615.96724,102.0,244.840485,1700.0,890.1788449999999
27,125.69481699999999,233.28,0.0,1000.0,207.77371499999998
28,7152.864372,387.05,2236.145259,10500.0,1601.448347
29,22.063489999999998,100.0,0.0,6900.0,160.767773
30,12136.219959999999,3038.01,3183.583301,13000.0,4230.323490999999
31,1162.273324,1347.71,175.815755,6000.0,645.998299
32,6732.823064,324.95,1189.533753,10500.0,1720.1188760000002
33,125.660453,636.79,0.0,1200.0,423.449696
34,3517.1016159999995,547.28,0.0,11000.0,8735.607834999999
35,1656.350781,0.0,99.26436700000001,1800.0,351.500199
36,7427.076940999999,0.0,8873.375046,9000.0,1636.361601
37,4047.480828,2380.55,1697.6609010000002,5000.0,1617.894416
38,6269.418144,204.0,2925.699862,9000.0,1237.111661
39,1411.60223,963.24,6173.682877,7500.0,20071.07544
40,663.44781,0.0,3133.063934,1800.0,3067.05783
41,784.889762,1526.59,2188.419607,3000.0,1262.309666
42,4104.710798,203.82,0.0,4500.0,868.275275
43,1360.742377,0.0,1481.5870929999999,1500.0,378.294227
44,5315.945594,1525.44,0.0,8500.0,1430.3415009999999
46,474.447149,109.74,1013.659552,1700.0,176.013005
48,229.867179,2390.6,0.0,3300.0,2543.953559
49,863.809833,507.5,695.097159,4000.0,587.866451
50,4931.331857,901.42,8530.648614,12000.0,8113.297345999999
51,1078.888565,3107.85,0.0,2500.0,1399.82834
52,1565.6810990000001,0.0,321.35913500000004,3500.0,691.825279
53,464.674156,1979.22,1981.265503,3000.0,3110.0527420000003
57,2386.330629,5217.62,0.0,7500.0,5678.729613
58,3971.1387649999997,0.0,224.575517,4000.0,764.9387280000001
59,5493.90406,229.0,970.5913320000001,6000.0,2110.557023
60,1879.1140329999998,113.0,0.0,6500.0,3509.686561
61,1555.793701,66.2,0.0,1600.0,338.083661
62,809.582978,0.0,3819.6724659999995,4150.0,4372.148647999999
64,1923.886805,1887.64,1605.9493710000002,1850.0,3688.0459979999996
65,1758.059987,412.33,0.0,1800.0,777.4516480000001
66,809.847455,0.0,908.4236080000001,1500.0,146.074769
67,1576.3050289999999,0.0,382.908547,2500.0,540.022225
68,3990.5235789999997,263.5,0.0,6000.0,6876.836205
69,1699.4354859999999,1363.69,0.0,1700.0,1623.816348
70,5487.683724,419.1,625.399386,6250.0,1288.214909
71,2990.422186,4523.27,27296.485760000003,7000.0,28232.694460000002
72,656.01301,0.0,1474.349901,7000.0,910.457985
73,1808.9724190000002,713.9,0.0,2250.0,889.017418
74,532.334517,791.94,0.0,6000.0,1305.1773039999998
75,5860.433624,561.87,0.0,6000.0,1990.044998
76,1727.6384489999998,606.11,0.0,11000.0,2959.920544
77,578.809679,320.0,0.0,1500.0,1438.910569
78,1205.716678,0.0,38.325801,1200.0,29.278671000000003
79,6593.820643999999,388.66,4621.93458,7000.0,1624.583114
80,17.357563,244.85,0.0,5000.0,357.802082
81,81.584711,0.0,2985.300006,9500.0,116.569033
82,3.78631,133.05,0.0,12000.0,210.053432
83,42.46443,396.0,0.0,1200.0,725.6061940000001
84,1935.362486,4915.6,293.844792,9000.0,4921.066897
85,134.917202,1247.8,0.0,16500.0,1275.2294359999999
86,7069.9503859999995,1603.78,5626.004046,11000.0,4589.8738969999995
87,8181.251131,2258.01,5251.228934000001,13500.0,3021.575846
88,4037.3056579999998,45.0,104.23806400000001,4500.0,1073.844885
89,6110.265264,0.0,2717.253917,6500.0,1502.205631
90,9381.255094,5100.07,370.73719700000004,9000.0,6409.4963450000005
91,1977.0070899999998,1032.04,4335.919227,4000.0,3056.424974
92,1321.4760800000001,45.65,495.657934,1800.0,440.84043899999995
95,1139.782882,0.0,120.61291200000001,1200.0,151.823651
96,1619.955708,739.44,0.0,6000.0,417.128532
98,4.708041000000001,79.0,0.0,7000.0,217.820198
100,4.875885,20.0,0.0,1500.0,26.487919
101,23.394410999999998,1346.28,0.0,2000.0,712.1491530000001
102,3539.801912,2823.8,0.0,5700.0,9172.788365999999
104,862.0723800000001,0.0,920.3098050000001,4000.0,2236.8902550000003
105,2441.542991,808.0,959.8572630000001,4000.0,532.741699
106,408.656365,941.64,0.0,2500.0,1097.7894199999998
